There are 1 devices!
The device 'mlx4_0' max mr size is 18446744073709551615 bytes.
The device 'mlx4_0' max_qp_wr is 16351.
The device 'mlx4_0' phys_port_cnt is 2.
The device 'mlx4_0' active_speed is 10.0 Gbps.
The device 'mlx4_0' max_mtu is IBV_MTU_4096.
The device 'mlx4_0' active_mtu is IBV_MTU_1024.
The device 'mlx4_0' link_layer is IBV_LINK_LAYER_ETHERNET.
Thread:	Id:	Size(MByte):	Time(ms):	Speed(Mbits/s):
3	54	55	        597.754028	1472.177490
7	40	41	        410.545990	1597.872070
8	37	38	        284.300995	2138.578613
6	43	44	        364.170013	1933.162964
2	60	61	        625.927979	1559.284790
4	51	52	        315.747009	2635.020996
5	47	48	        271.545013	2828.260254
9	35	36	        152.686996	3772.423340
7	41	42	        206.085007	3260.790283
3	55	56	        275.221008	3255.565186
8	38	39	        253.123993	2465.194824
6	44	45	        298.459991	2412.383789
9	36	37	        280.606995	2109.712158
5	48	49	        438.098999	1789.549805
7	42	43	        521.364990	1319.612915
4	52	53	        625.382019	1355.971191
8	39	40	        477.705994	1339.736206
2	61	62	        725.715027	1366.927734
9	37	38	        400.217010	1519.175903
6	45	46	        482.308990	1525.992676
3	56	57	        589.997009	1545.770630
5	49	50	        301.287994	2655.266602
7	43	44	        156.341003	4502.977539
4	53	54	        256.515991	3368.211182
8	40	41	        252.869995	2594.218506
9	38	39	        274.967987	2269.354980
6	46	47	        348.750000	2156.272461
7	44	45	        479.134003	1502.711182
5	50	51	        604.931030	1348.914062
8	41	42	        522.281982	1286.661255
2	62	63	        748.828979	1346.101685
9	39	40	        477.632996	1339.940918
3	57	58	        723.648010	1282.391357
6	47	48	        428.494995	1792.319702
4	54	55	        621.971985	1414.854736
7	45	46	        265.815002	2768.843018
5	51	52	        190.490005	4367.683105
8	42	43	        256.845001	2678.658447
9	40	41	        273.359009	2399.774658
2	63	64	        603.781006	1695.979248
6	48	49	        595.943970	1315.559937
7	46	47	        607.255005	1238.359497
9	41	42	        446.377014	1505.453857
8	43	44	        480.046997	1466.523071
3	58	59	        713.250977	1323.517212
5	52	53	        648.947998	1306.730225
4	55	56	        685.924011	1306.267212
6	49	50	        147.658997	5417.888184
7	47	48	        141.912003	5411.804688
9	42	43	        269.112000	2556.556396
8	44	45	        297.721985	2418.363525
5	53	54	        501.001007	1724.547485
6	50	51	        587.763000	1388.314697
7	48	49	        560.206970	1399.482788
4	56	57	        642.205017	1420.107300
3	59	60	        664.793030	1444.058472
9	43	44	        408.625000	1722.850952
8	45	46	        378.484009	1944.599976
5	54	55	        192.582993	4569.458496
6	51	52	        440.356995	1889.376099
9	44	45	        524.581970	1372.521484
7	49	50	        554.013000	1444.009399
8	46	47	        550.385986	1366.313843
4	57	58	        623.633972	1488.052368
5	55	56	        578.307983	1549.347412
3	60	61	        628.802979	1552.155518
6	52	53	        239.169006	3545.609863
9	45	46	        156.738998	4695.704590
7	50	51	        238.753006	3417.758057
8	47	48	        254.617996	3016.283447
5	56	57	        585.806030	1556.829346
9	46	47	        542.252991	1386.806519
4	58	59	        627.033020	1505.502930
6	53	54	        607.721985	1421.702759
8	48	49	        465.704010	1683.472656
7	51	52	        503.783997	1651.501465
3	61	62	        656.130981	1511.893311
